sector,year,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec
full_remote_arts_entertain,2021,,,,,,,,,,,26.4,25
full_remote_arts_entertain,2022,24.3,23.7,23.3,23.5,19.3,18.2,21.8,20.2,20.1,18.2,15.1,16
full_remote_arts_entertain,2023,14.4,19.6,14.5,12.7,13.7,14.5,16.5,13.4,,15,14,14.6
full_remote_arts_entertain,2024,14.9,15.5,15.6,,,,,,,,,
full_remote_education,2021,,,,,,,,,,,12.2,13.3
full_remote_education,2022,13.6,13,10,10.2,9.7,12.6,12.5,11.7,10.1,8.8,9.8,9.3
full_remote_education,2023,8.7,6.5,5.6,6.2,8,11.9,12,12.1,,9.7,9.3,8.8
full_remote_education,2024,8.4,9.6,9.9,,,,,,,,,
full_remote_finance_insurance,2021,,,,,,,,,,,26.9,29.2
full_remote_finance_insurance,2022,29.7,28.7,25.1,23.9,21.5,20.5,18.9,19.3,20.7,21.1,23.2,24.4
full_remote_finance_insurance,2023,22.8,22,18.8,19.9,21.6,23.3,21.6,20.9,,20.9,23.5,22
full_remote_finance_insurance,2024,22.5,21.9,23.3,,,,,,,,,
full_remote_government,2021,,,,,,,,,,,12.8,16
full_remote_government,2022,18.3,19.2,16.3,13.5,16.6,18.1,19,14,13.7,15,16.4,14
full_remote_government,2023,13.7,13.4,13.1,13,12,13.9,12.4,11.2,,9,8.1,8.8
full_remote_government,2024,10.5,11.5,12.8,,,,,,,,,
full_remote_healthcare,2021,,,,,,,,,,,16.4,16.5
full_remote_healthcare,2022,17.9,18.6,18.2,15.4,16,16.3,18.1,18.6,17.7,16.3,16.9,17.7
full_remote_healthcare,2023,17.4,16.8,17.4,18.6,17.9,16.8,16.4,15.4,,15.3,15.5,16.9
full_remote_healthcare,2024,17.2,15.6,14.4,,,,,,,,,
full_remote_hospitaility_food,2021,,,,,,,,,,,3.3,3.9
full_remote_hospitaility_food,2022,5.6,5.1,4.8,2.9,2.9,2.7,2.8,2.6,2.2,4,5.9,5.5
full_remote_hospitaility_food,2023,4.5,3.7,5.1,5.1,5.6,5.4,4.6,3.3,,3.2,4.1,5.5
full_remote_hospitaility_food,2024,5.1,4.6,3.4,,,,,,,,,
full_remote_information,2021,,,,,,,,,,,15.1,17.8
full_remote_information,2022,22.8,27.3,29,26,24.7,26.7,30.2,27.9,23.7,19.4,21.1,20.3
full_remote_information,2023,21.5,22.3,22.3,23.5,22.2,20.2,18.3,17.3,,24.1,22.5,24.5
full_remote_information,2024,22.1,21.7,21.4,,,,,,,,,
full_remote_manufacturing,2021,,,,,,,,,,,6.2,7.6
full_remote_manufacturing,2022,8.1,9.2,8.4,6.9,6.4,6.5,7.7,9.6,10.1,10.6,8.2,6.4
full_remote_manufacturing,2023,5.3,5.3,6.1,5.6,5.8,5.8,6.3,6.2,,6.4,6.5,6.5
full_remote_manufacturing,2024,5.5,5.6,5.5,,,,,,,,,
full_remote_prof_bus_services,2021,,,,,,,,,,,27.2,30.8
full_remote_prof_bus_services,2022,35.4,36.8,32.4,27.5,24.9,24.5,24.1,24,23.7,22.5,20.9,21
full_remote_prof_bus_services,2023,20.7,23.8,23.1,23.3,19.4,21.8,21.5,23.4,,22.2,24.4,25.3
full_remote_prof_bus_services,2024,27.1,27.6,29.3,,,,,,,,,
full_remote_realestate,2021,,,,,,,,,,,22.1,21.3
full_remote_realestate,2022,22.5,22.1,21.7,12.9,11.2,8.1,13.7,14.6,14.8,9.9,10.4,13.1
full_remote_realestate,2023,13,11.8,7.8,9.9,8.8,10.4,15.1,17.1,,17,18,13.8
full_remote_realestate,2024,14.6,15.2,20.1,,,,,,,,,
full_remote_retail,2021,,,,,,,,,,,12,11.5
full_remote_retail,2022,9.3,9.7,9,9.6,8.6,8.7,8.4,8.2,7.2,6.5,6.8,6.3
full_remote_retail,2023,6.7,6.7,7.2,7.8,7.2,7.4,7.1,6.8,,7.2,7.1,7.7
full_remote_retail,2024,8.1,8.1,8.4,,,,,,,,,
full_remote_transp_warehousing,2021,,,,,,,,,,,9.5,8
full_remote_transp_warehousing,2022,6.9,7.4,7.1,6.2,5.3,5.3,3.9,4,4.7,5.3,5.1,6.2
full_remote_transp_warehousing,2023,6.6,5.6,3.4,3,4.9,9.3,11.2,9.5,,4.7,2.7,4
full_remote_transp_warehousing,2024,5.8,6,6.3,,,,,,,,,
full_remote_utilities,2021,,,,,,,,,,,6.4,12.5
full_remote_utilities,2022,14.2,12.3,4.9,7.3,11.5,17.4,20.8,21.5,17.8,12.4,10.1,15.4
full_remote_utilities,2023,16.8,15,8,11.6,13.7,13.8,13.3,15.6,,21.7,17.5,16.5
full_remote_utilities,2024,13.2,13.1,10.2,,,,,,,,,
full_remote_wholesale,2021,,,,,,,,,,,43.3,34.4
full_remote_wholesale,2022,19.2,24.9,25.9,25.3,19.7,19.4,15.1,16.5,19.2,24.7,21.8,16.9
full_remote_wholesale,2023,13.6,16.1,14.4,12.3,10.4,14.4,12.2,13.4,,12.5,20.2,21.2
full_remote_wholesale,2024,19.4,14.6,10.1,,,,,,,,,
