date,WFH_share,Source_historical_series,fullremote_hist,Source_fullremote_hist,Notes,License,Citation
1/1/1965,0.4,AHTUS,,,,"Copyright 2024 by Jose Maria Barrero, Nicholas Bloom, and Steven J. Davis. The data in this .xlsx file are made available under the CC-BY 4.0 license https://creativecommons.org/licenses/by/4.0/"," When using this work, please cite: Barrero, Jose Maria, Nicholas Bloom, and Steven J. Davis, 2021. ""Why working from home will stick,"" National Bureau of Economic Research Working Paper 28731.   "
1/1/1975,0.6,AHTUS,,,,,
1/1/1985,4.8,AHTUS,,,,,
1/1/1993,2.5,AHTUS,,,,,
1/1/1995,2.2,AHTUS,,,,,
1/1/1998,2.9,AHTUS,,,,,
1/1/2003,3.0,ATUS,1.8,ACS,,,
1/1/2004,4.1,ATUS,2.1,ACS,,,
1/1/2005,3.4,ATUS,2.0,ACS,,,
1/1/2006,3.5,ATUS,2.3,ACS,,,
1/1/2007,4.0,ATUS,2.5,ACS,,,
1/1/2008,4.5,ATUS,2.6,ACS,,,
1/1/2009,6.4,ATUS,2.8,ACS,,,
1/1/2010,5.4,ATUS,2.8,ACS,,,
1/1/2011,4.6,ATUS,3.0,ACS,,,
1/1/2012,5.7,ATUS,3.1,ACS,,,
1/1/2013,5.4,ATUS,3.2,ACS,,,
1/1/2014,6.4,ATUS,3.3,ACS,,,
1/1/2015,6.8,ATUS,3.5,ACS,,,
1/1/2016,5.9,ATUS,3.9,ACS,,,
1/1/2017,6.9,ATUS,4.1,ACS,,,
1/1/2018,5.3,ATUS,4.2,ACS,,,
1/1/2019,7.2,ATUS,4.7,ACS,,,
5/1/2020,61.5,SWAA,,,,,
7/1/2020,51.0,SWAA,,,,,
8/1/2020,48.3,SWAA,,,,,
9/1/2020,44.3,SWAA,,,,,
10/1/2020,43.3,SWAA,,,,,
11/1/2020,38.8,SWAA,,,,,
12/1/2020,37.0,SWAA,,,,,
1/1/2021,36.8,SWAA,,,,,
2/1/2021,34.1,SWAA,,,,,
3/1/2021,34.6,SWAA,,,,,
4/1/2021,34.9,SWAA,,,,,
5/1/2021,32.9,SWAA,,,,,
6/1/2021,32.8,SWAA,,,,,
7/1/2021,33.6,SWAA,,,,,
8/1/2021,32.0,SWAA,,,,,
9/1/2021,32.5,SWAA,,,,,
10/1/2021,32.2,SWAA,,,,,
11/1/2021,33.1,SWAA,,,,,
12/1/2021,33.3,SWAA,,,,,
1/1/2022,32.4,SWAA,,,,,
2/1/2022,31.2,SWAA,,,,,
3/1/2022,31.1,SWAA,,,,,
4/1/2022,29.6,SWAA,,,,,
5/1/2022,31.5,SWAA,,,,,
6/1/2022,31.6,SWAA,,,,,
7/1/2022,30.6,SWAA,,,,,
8/1/2022,29.5,SWAA,,,,,
9/1/2022,29.1,SWAA,,,,,
10/1/2022,29.4,SWAA,,,,,
11/1/2022,28.9,SWAA,,,,,
12/1/2022,29.3,SWAA,,,,,
1/1/2023,27.2,SWAA,,,,,
2/1/2023,27.7,SWAA,,,,,
3/1/2023,28.7,SWAA,,,,,
4/1/2023,28.4,SWAA,,,,,
5/1/2023,28.2,SWAA,,,,,
6/1/2023,28.1,SWAA,,,,,
7/1/2023,30.7,SWAA,,,,,
8/1/2023,30.7,SWAA,,,,,
9/1/2023,29.4,SWAA,,,The September 2023 SWAA estimate averages the values for August and October due to data quality issues with the September 2023 survey wave.,,
10/1/2023,28.0,SWAA,,,,,
11/1/2023,28.6,SWAA,,,,,
12/1/2023,29.5,SWAA,,,,,
1/1/2024,28.8,SWAA,,,,,
2/1/2024,27.8,SWAA,,,,,
3/1/2024,27.5,SWAA,,,,,
