date,WFH_share
1/1/1965,0.4
1/1/1975,0.6
1/1/1985,4.8
1/1/1993,2.5
1/1/1995,2.2
1/1/1998,2.9
1/1/2003,3.0
1/1/2004,4.1
1/1/2005,3.4
1/1/2006,3.5
1/1/2007,4.0
1/1/2008,4.5
1/1/2009,6.4
1/1/2010,5.4
1/1/2011,4.6
1/1/2012,5.7
1/1/2013,5.4
1/1/2014,6.4
1/1/2015,6.8
1/1/2016,5.9
1/1/2017,6.9
1/1/2018,5.3
1/1/2019,7.2
5/1/2020,61.5
7/1/2020,51.0
8/1/2020,48.3
9/1/2020,44.3
10/1/2020,43.3
11/1/2020,38.8
12/1/2020,37.0
1/1/2021,36.8
2/1/2021,34.1
3/1/2021,34.6
4/1/2021,34.9
5/1/2021,32.9
6/1/2021,32.8
7/1/2021,33.6
8/1/2021,32.0
9/1/2021,32.5
10/1/2021,32.2
11/1/2021,33.1
12/1/2021,33.3
1/1/2022,32.4
2/1/2022,31.2
3/1/2022,31.1
4/1/2022,29.6
5/1/2022,31.5
6/1/2022,31.6
7/1/2022,30.6
8/1/2022,29.5
9/1/2022,29.1
10/1/2022,29.4
11/1/2022,28.9
12/1/2022,29.3
1/1/2023,27.2
2/1/2023,27.7
3/1/2023,28.7
4/1/2023,28.4
5/1/2023,28.2
6/1/2023,28.1
7/1/2023,30.7
8/1/2023,30.7
9/1/2023,29.4
10/1/2023,28.0
11/1/2023,28.6
12/1/2023,29.5
1/1/2024,28.8
2/1/2024,27.8
3/1/2024,27.5
